GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__RBG-16-42-10	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-36-15	1	1	f__(o__Burkholderiales) 100.0%
f__O2-12-FULL-59-9	1	1	f__(o__Burkholderiales) 100.0%
f__GWA2-52-8	1	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-41-12	1	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-40-14	1	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-47-10	1	1	f__(o__Burkholderiales) 100.0%
f__GWF2-35-9	1	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-66-17	1	1	f__(o__Burkholderiales) 100.0%
f__GWA2-58-10	1	1	f__(o__Burkholderiales) 100.0%
f__YA12-FULL-48-11	1	1	f__(o__Burkholderiales) 100.0%
f__54-19	1	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-45-11	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-43-22	1	1	f__(o__Burkholderiales) 100.0%
f__OXYB2-FULL-49-7	1	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-49-11	1	1	f__(o__Burkholderiales) 100.0%
f__MFKM01	1	1	f__(o__Burkholderiales) 100.0%
f__YA12-FULL-61-11	1	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-49-11	1	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-67-15	1	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-54-11	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-46-9	1	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-32-10	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-61-14	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-66-14	1	1	f__(o__Burkholderiales) 100.0%
f__GCF-1484045	1	1	f__Mycoplasmataceae 100.0%
f__GCF-002020875	1	1	f__(o__Burkholderiales) 100.0%
f__Nucleicultricaceae	1	1	f__Caedimonadaceae(o__Holosporales) 100.0%
f__TC1	1	1	f__(o__Burkholderiales) 100.0%
f__Desulfonisporaceae	1	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__JdFR-76	1	1	f__(o__Burkholderiales) 100.0%
f__Desulfohalobiaceae_A	1	1	f__Desulfohalobiaceae 100.0%
f__SG-bin7	1	1	f__(o__Burkholderiales) 100.0%
f__Desulfobacteraceae_A	1	1	f__Desulfobacteraceae 100.0%
f__4484-211	1	1	f__(o__Burkholderiales) 100.0%
f__NBLK01	1	1	f__Rickettsiaceae(o__Rickettsiales) 100.0%
f__MLS-D	1	1	f__(o__Burkholderiales) 100.0%
f__4484-95	1	1	f__(o__Burkholderiales) 100.0%
f__4572-128	1	1	f__(o__Burkholderiales) 100.0%
f__4484-49	1	1	f__(o__Burkholderiales) 100.0%
f__4572-78	1	1	f__Anaerolineaceae(o__Anaerolineales) 100.0%
f__NBLH01	1	1	f__(o__Burkholderiales) 100.0%
f__JdFR-97	1	1	f__Desulfarculaceae(o__Desulfarculales) 100.0%
f__JdFR-54	1	1	f__Dehalococcoidaceae(o__Dehalococcoidales) 100.0%
f__4484-107	1	1	f__(o__Burkholderiales) 100.0%
f__4572-123	1	1	f__Desulfobacteraceae 100.0%
f__AABM5-125-24	1	1	f__(o__Burkholderiales) 100.0%
f__4572-55	1	1	f__(o__Burkholderiales) 100.0%
f__4484-93	1	1	f__(o__Burkholderiales) 100.0%
f__Ignavibacteriaceae_A	1	1	f__(o__Burkholderiales) 100.0%
f__TMED198	1	1	f__(o__Burkholderiales) 100.0%
f__JdFR-81	1	1	f__(o__Burkholderiales) 100.0%
f__4484-113	1	1	f__(o__Burkholderiales) 100.0%
f__JdFR-86	1	1	f__(o__Burkholderiales) 100.0%
f__Enterobacteriaceae_A	1	1	f__(o__Burkholderiales) 100.0%
f__Dehalobacteriaceae	1	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__Acidaminobacteraceae	1	1	f__Clostridiales Family XII. Incertae Sedis(o__Clostridiales) 100.0%
f__PESK01	1	1	f__Desulfobacteraceae 100.0%
f__Calderihabitantaceae	1	1	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 100.0%
f__Thermodesulforhabdaceae	1	1	f__Syntrophobacteraceae 100.0%
f__SA5d-4	1	1	f__Bacillaceae 100.0%
f__GAS474	1	1	f__Verrucomicrobiaceae(o__Verrucomicrobiales) 100.0%
f__Caldibacillaceae_A	1	1	f__Bacillaceae 100.0%
f__Desulfolunaceae	1	1	f__Desulfobacteraceae 100.0%
f__UBA7702	1	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__UBA3943	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5435	1	1	f__(o__Burkholderiales) 100.0%
f__Bin61	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3496	1	1	f__Nitrospinaceae(o__Nitrospinales) 100.0%
f__GCA-2717925	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6915	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6016	1	1	f__Helicobacteraceae 100.0%
f__Porisulfidaceae	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2717565	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2591	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2722455	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2777	1	1	f__(o__Burkholderiales) 100.0%
f__UBA4820	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2719675	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7675	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2748835	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2747255	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7366	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6099	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2593	1	1	f__(o__Burkholderiales) 100.0%
f__Magnetomoraceae	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3830	1	1	f__Holosporaceae(o__Holosporales) 100.0%
f__1-14-0-10-41-12	1	1	f__(o__Burkholderiales) 100.0%
f__WMHbin7	1	1	f__(o__Burkholderiales) 100.0%
f__YD0425bin51	1	1	f__(o__Burkholderiales) 100.0%
f__UBA4733	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2747355	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6266	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3940	1	1	f__(o__Burkholderiales) 100.0%
f__UBA4787	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3085	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2565	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2214	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11029	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2699445	1	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-10-45-34	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5852	1	1	f__Desulfobacteraceae 100.0%
f__UBA7701	1	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__1-14-0-20-49-13	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6668	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5859	1	1	f__Thiotrichaceae(o__Thiotrichales) 100.0%
f__UBA1449	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1709	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6177	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2712585	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3534	1	1	f__(o__Burkholderiales) 100.0%
f__Bin134	1	1	f__(o__Burkholderiales) 100.0%
f__Bin76	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7332	1	1	f__Porphyromonadaceae 100.0%
f__GCA-002688135	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2861595	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2746255	1	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__GCA-2709385	1	1	f__Waddliaceae 100.0%
f__Bin103	1	1	f__Spirochaetaceae 100.0%
f__GCA-2400775	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2401785	1	1	f__(o__Burkholderiales) 100.0%
f__PGYQ01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6265	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11136	1	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__UBA6257	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2742885	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2716485	1	1	f__(o__Burkholderiales) 100.0%
f__0-14-0-20-40-13	1	1	f__(o__Burkholderiales) 100.0%
f__YD0425bin50	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1441	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2594	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10988	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2721365	1	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__GCA-2746185	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2770	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2687025	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1431	1	1	f__Catabacteriaceae(o__Clostridiales) 100.0%
f__GCA-002684695	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1127	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2747955	1	1	f__(o__Burkholderiales) 100.0%
f__Bin95	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6680	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1758	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1257	1	1	f__Hungateiclostridiaceae(o__Clostridiales) 100.0%
f__UBA6910	1	1	f__ 100.0%
f__UBA2598	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7526	1	1	f__(o__Burkholderiales) 100.0%
f__0-14-0-10-38-17	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7683	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3532	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1318	1	1	f__Spirochaetaceae(o__Spirochaetales) 100.0%
f__GCA-002772895	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2686955	1	1	f__(o__Burkholderiales) 100.0%
f__PGYV01	1	1	f__(o__Burkholderiales) 100.0%
f__ARS69	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1319	1	1	f__(o__Burkholderiales) 100.0%
f__UBA12445_A	1	1	f__(o__Burkholderiales) 100.0%
f__21-14-all-36-13	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1515	1	1	f__(o__Burkholderiales) 100.0%
f__UBA4821	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2746425	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2401445	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6013	1	1	f__(o__Burkholderiales) 100.0%
f__1-14-2-50-48-13	1	1	f__(o__Burkholderiales) 100.0%
f__PHET01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5829	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2562	1	1	f__(o__Burkholderiales) 100.0%
f__UBA941	1	1	f__Catabacteriaceae(o__Clostridiales) 100.0%
f__UBA6919	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1396	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6094	1	1	f__Catabacteriaceae(o__Clostridiales) 100.0%
f__UBA3084	1	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UBA2428	1	1	f__Bacteriovoracaceae(o__Bacteriovoracales) 100.0%
f__GCA-2785325	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2233	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1444	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1439	1	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-20-64-10	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6186	1	1	f__Francisellaceae(o__Thiotrichales) 100.0%
f__21-14-0-20-44-7	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3941	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6663	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2699105	1	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
f__UBA3824	1	1	f__(o__Burkholderiales) 100.0%
f__UBA4506	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5976	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-002772825	1	1	f__(o__Burkholderiales) 100.0%
f__NMUJ01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6952	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2689995	1	1	f__(o__Burkholderiales) 100.0%
f__ARS1013	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5616	1	1	f__Desulfobacteraceae 100.0%
f__UBA4778	1	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UBA6794	1	1	f__(o__Burkholderiales) 100.0%
f__PEYW01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6184	1	1	f__Candidatus Paracaedibacteraceae(o__Holosporales) 100.0%
f__21-14-0-10-42-9	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5500	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1384	1	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-10-40-38	1	1	f__(o__Burkholderiales) 100.0%
f__PHBD01	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2746335	1	1	f__(o__Burkholderiales) 100.0%
f__ARS1246	1	1	f__(o__Burkholderiales) 100.0%
f__Bin34	1	1	f__Caldilineaceae 100.0%
f__UBA3071	1	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-20-42-13	1	1	f__(o__Burkholderiales) 100.0%
f__UBA2400	1	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-20-47-16	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5962	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2718715	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1908	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2747515	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1398	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6926	1	1	f__(o__Burkholderiales) 100.0%
f__PEYH01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3086	1	1	f__(o__Burkholderiales) 100.0%
f__PETJ01	1	1	f__(o__Burkholderiales) 100.0%
f__PFEM01	1	1	f__(o__Burkholderiales) 100.0%
f__WMHbin3	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-002788555	1	1	f__(o__Burkholderiales) 100.0%
f__UBA1874	1	1	f__(o__Burkholderiales) 100.0%
f__0-14-0-80-59-12	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7883	1	1	f__Nitrospinaceae(o__Nitrospinales) 100.0%
f__UBA5070	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2746535	1	1	f__(o__Burkholderiales) 100.0%
f__Bin106	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6109	1	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__GCA-2401425	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2715965	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5301	1	1	f__(o__Burkholderiales) 100.0%
f__Bin80	1	1	f__Rhodothermaceae(o__Bacteroidetes Order II. Incertae sedis) 100.0%
f__UBA3700	1	1	f__Catabacteriaceae(o__Clostridiales) 100.0%
f__UBA6002	1	1	f__Coxiellaceae(o__Legionellales) 100.0%
f__MC1	1	1	f__Rickettsiaceae(o__Rickettsiales) 100.0%
f__Bin98	1	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-46-8	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5343	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2792135	1	1	f__(o__Burkholderiales) 100.0%
f__UBA6077	1	1	f__(o__Burkholderiales) 100.0%
f__PFDW01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA5754	1	1	f__(o__Burkholderiales) 100.0%
f__UBA3065	1	1	f__ 100.0%
f__PHAN01	1	1	f__(o__Burkholderiales) 100.0%
f__GCA-2753255	1	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-58-16_A	1	1	f__Rhodospirillaceae 100.0%
f__Massilibacillaceae	1	1	f__Veillonellaceae(o__Veillonellales) 100.0%
f__Vallitaleaceae_A	1	1	f__Defluviitaleaceae(o__Clostridiales) 100.0%
f__FEN-1099	1	1	f__(o__Burkholderiales) 100.0%
f__BOG-932	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-500	1	1	f__(o__Burkholderiales) 100.0%
f__Eremiobacteraceae	1	1	f__(o__Burkholderiales) 100.0%
f__BM002	1	1	f__Desulfobacteraceae(o__Desulfobacterales) 100.0%
f__PALSA-555	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-8	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-242	1	1	f__(o__Burkholderiales) 100.0%
f__BM303	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-182	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-149	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-152	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-146	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-224	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-191	1	1	f__(o__Burkholderiales) 100.0%
f__QIAW01	1	1	f__(o__Burkholderiales) 100.0%
f__QHBQ01	1	1	f__(o__Burkholderiales) 100.0%
f__SAR202-VII-2	1	1	f__(o__Burkholderiales) 100.0%
f__AA152	1	1	f__(o__Burkholderiales) 100.0%
f__QHYA01	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-232	1	1	f__(o__Burkholderiales) 100.0%
f__QGNO01	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-35	1	1	f__(o__Burkholderiales) 100.0%
f__QHCD01	1	1	f__(o__Burkholderiales) 100.0%
f__FEN-1343	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-38	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-605	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-371	1	1	f__(o__Burkholderiales) 100.0%
f__FEB-10	1	1	f__(o__Burkholderiales) 100.0%
f__PALSA-660	1	1	f__(o__Burkholderiales) 100.0%
f__BM523	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-150	1	1	f__Acidiferrobacteraceae 100.0%
f__QHCA01	1	1	f__(o__Burkholderiales) 100.0%
f__BM714	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-47	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-584	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN34	1	1	f__(o__Burkholderiales) 100.0%
f__NAK82	1	1	f__(o__Burkholderiales) 100.0%
f__FEN-943	1	1	f__(o__Burkholderiales) 100.0%
f__ZC4RG38	1	1	f__(o__Burkholderiales) 100.0%
f__SZUA-5	1	1	f__Rhodanobacteraceae 100.0%
f__QHCE01	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN30	1	1	f__(o__Burkholderiales) 100.0%
f__AG-410-N11	1	1	f__(o__Burkholderiales) 100.0%
f__RUG730	1	1	f__(o__Burkholderiales) 100.0%
f__RUG844	1	1	f__(o__Burkholderiales) 100.0%
f__Defferisomataceae	1	1	f__(o__Burkholderiales) 100.0%
f__RUG033	1	1	f__(o__Burkholderiales) 100.0%
f__BM507	1	1	f__(o__Burkholderiales) 100.0%
f__BOG-944	1	1	f__(o__Burkholderiales) 100.0%
f__SW-11-45-7	1	1	f__(o__Burkholderiales) 100.0%
f__Muirbacteriaceae	1	1	f__(o__Burkholderiales) 100.0%
f__HCM1	1	1	f__(o__Burkholderiales) 100.0%
f__BMS3BBIN04	1	1	f__(o__Burkholderiales) 100.0%
f__BM003	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN23	1	1	f__(o__Burkholderiales) 100.0%
f__SW-6-46-9	1	1	f__(o__Burkholderiales) 100.0%
f__FEN-1173	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN11	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN17	1	1	f__(o__Burkholderiales) 100.0%
f__FEN-1388	1	1	f__(o__Burkholderiales) 100.0%
f__RSA17	1	1	f__Clostridiales Family XVII. Incertae Sedis(o__Clostridiales) 100.0%
f__HRBIN16	1	1	f__(o__Burkholderiales) 100.0%
f__FEN-1346	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN32	1	1	f__(o__Burkholderiales) 100.0%
f__HRBIN36	1	1	f__(o__Burkholderiales) 100.0%
f__AAA071-K20	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS1783	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS1810	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS1840	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS1388	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS1253	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS416	1	1	f__(o__Burkholderiales) 100.0%
f__UMGS1260	1	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__B26-G9	1	1	f__(o__Burkholderiales) 100.0%
f__B28-G17	1	1	f__(o__Burkholderiales) 100.0%
f__B36-G15	1	1	f__(o__Burkholderiales) 100.0%
f__UCB3	1	1	f__(o__Burkholderiales) 100.0%
f__QEVD01	1	1	f__(o__Burkholderiales) 100.0%
f__B32-G16	1	1	f__(o__Burkholderiales) 100.0%
f__QNFN01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8349	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8914	1	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__B30-G16	1	1	f__(o__Burkholderiales) 100.0%
f__QNDG01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA9570	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8958	1	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__CAACVY01	1	1	f__(o__Burkholderiales) 100.0%
f__B62-G9	1	1	f__(o__Burkholderiales) 100.0%
f__B15-G9	1	1	f__(o__Burkholderiales) 100.0%
f__QNFE01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10197	1	1	f__(o__Burkholderiales) 100.0%
f__CR-1	1	1	f__Desulfobacteraceae 100.0%
f__RPQK01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10347	1	1	f__Acidimicrobiaceae 100.0%
f__J094	1	1	f__(o__Burkholderiales) 100.0%
f__PWXJ01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA9089	1	1	f__(o__Burkholderiales) 100.0%
f__J137	1	1	f__(o__Burkholderiales) 100.0%
f__J089	1	1	f__(o__Burkholderiales) 100.0%
f__CSSED10-335	1	1	f__(o__Burkholderiales) 100.0%
f__J088	1	1	f__(o__Burkholderiales) 100.0%
f__J102	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11359_D	1	1	f__(o__Burkholderiales) 100.0%
f__J058	1	1	f__(o__Burkholderiales) 100.0%
f__PWPR01	1	1	f__(o__Burkholderiales) 100.0%
f__B21-G15	1	1	f__(o__Burkholderiales) 100.0%
f__J093	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10324	1	1	f__(o__Burkholderiales) 100.0%
f__J135	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11236	1	1	f__(o__Burkholderiales) 100.0%
f__J132	1	1	f__(o__Burkholderiales) 100.0%
f__PWPN01	1	1	f__(o__Burkholderiales) 100.0%
f__ATN3	1	1	f__(o__Burkholderiales) 100.0%
f__J061	1	1	f__(o__Burkholderiales) 100.0%
f__J103	1	1	f__(o__Burkholderiales) 100.0%
f__J113	1	1	f__(o__Burkholderiales) 100.0%
f__PIWD01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10511	1	1	f__Planctomycetaceae 100.0%
f__T1SED10-198M	1	1	f__(o__Burkholderiales) 100.0%
f__B119-G9	1	1	f__(o__Burkholderiales) 100.0%
f__UBA12532	1	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__CFX8	1	1	f__(o__Burkholderiales) 100.0%
f__UBA9568	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10799	1	1	f__(o__Burkholderiales) 100.0%
f__UBA12135	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11320	1	1	f__(o__Burkholderiales) 100.0%
f__PXDI01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA12170	1	1	f__(o__Burkholderiales) 100.0%
f__QNBC01	1	1	f__(o__Burkholderiales) 100.0%
f__B11-G9	1	1	f__(o__Burkholderiales) 100.0%
f__CSSED10-310	1	1	f__(o__Burkholderiales) 100.0%
f__B21-G9	1	1	f__Thermotogaceae(o__Thermotogales) 100.0%
f__UBA9159	1	1	f__Nitrospiraceae(o__Nitrospirales) 100.0%
f__B70-G9	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8987	1	1	f__(o__Burkholderiales) 100.0%
f__B51-G9	1	1	f__(o__Burkholderiales) 100.0%
f__B22-G15	1	1	f__(o__Burkholderiales) 100.0%
f__PUNC01	1	1	f__(o__Burkholderiales) 100.0%
f__B47-G16	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10329	1	1	f__(o__Burkholderiales) 100.0%
f__B3-G13	1	1	f__Thermotogaceae(o__Thermotogales) 100.0%
f__B3-G15	1	1	f__(o__Burkholderiales) 100.0%
f__B14-G1	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11618	1	1	f__(o__Burkholderiales) 100.0%
f__UBA9215	1	1	f__(o__Burkholderiales) 100.0%
f__B39-G9	1	1	f__(o__Burkholderiales) 100.0%
f__PXDE01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA10169	1	1	f__(o__Burkholderiales) 100.0%
f__UBA11051	1	1	f__(o__Burkholderiales) 100.0%
f__J006	1	1	f__(o__Burkholderiales) 100.0%
f__J025	1	1	f__(o__Burkholderiales) 100.0%
f__V1-33	1	1	f__(o__Burkholderiales) 100.0%
f__UBA7950	1	1	f__(o__Burkholderiales) 100.0%
f__J040	1	1	f__(o__Burkholderiales) 100.0%
f__PIVX01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA12247	1	1	f__(o__Burkholderiales) 100.0%
f__GLO-12	1	1	f__(o__Burkholderiales) 100.0%
f__RPQS01	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8921	1	1	f__(o__Burkholderiales) 100.0%
f__PCPOR2b	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8522	1	1	f__(o__Burkholderiales) 100.0%
f__UBA9219	1	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__J057	1	1	f__(o__Burkholderiales) 100.0%
f__J004	1	1	f__(o__Burkholderiales) 100.0%
f__J036	1	1	f__(o__Burkholderiales) 100.0%
f__J002	1	1	f__(o__Burkholderiales) 100.0%
f__J027	1	1	f__(o__Burkholderiales) 100.0%
f__RPPD01	1	1	f__Spirochaetaceae 100.0%
f__J063	1	1	f__(o__Burkholderiales) 100.0%
f__J009	1	1	f__(o__Burkholderiales) 100.0%
f__J044	1	1	f__(o__Burkholderiales) 100.0%
f__QOAL01	1	1	f__Thermodesulfobacteriaceae(o__Thermodesulfobacteriales) 100.0%
f__RPRI01	1	1	f__Desulfobacteraceae 100.0%
f__J046	1	1	f__(o__Burkholderiales) 100.0%
f__SURF-47	1	1	f__(o__Burkholderiales) 100.0%
f__B130-G9	1	1	f__(o__Burkholderiales) 100.0%
