GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Prochlorococcus_A sp000635495	61	1	s__(g__Flavobacterium) 100.0%
s__Enterococcus_B hirae	61	3	s__Enterococcus hirae 96.72%, s__(g__Flavobacterium) 1.64%, s__Enterococcus faecium 1.64%
s__Pantoea ananatis	61	3	s__Pantoea ananatis 93.44%, s__(g__Flavobacterium) 4.92%, s__Pantoea allii 1.64%
s__Lactobacillus helveticus	58	2	s__Lactobacillus helveticus 98.28%, s__Lactobacillus gallinarum 1.72%
s__Micrococcus luteus	58	4	s__Micrococcus luteus 68.97%, s__(g__Flavobacterium) 22.41%, s__Micrococcus aloeverae 5.17%, s__Micrococcus yunnanensis 3.45%
s__Mesorhizobium muleiense	57	2	s__(g__Flavobacterium) 98.25%, s__Mesorhizobium muleiense 1.75%
s__Pseudomonas_E syringae_M	57	2	s__Pseudomonas syringae 96.49%, s__(g__Flavobacterium) 3.51%
s__Streptococcus dysgalactiae	57	3	s__Streptococcus dysgalactiae 96.49%, s__Staphylococcus aureus 1.75%, s__(g__Flavobacterium) 1.75%
s__Pseudomonas_E chlororaphis_F	57	2	s__Pseudomonas chlororaphis 92.98%, s__(g__Flavobacterium) 7.02%
s__Staphylococcus lugdunensis	57	2	s__(g__Flavobacterium) 56.14%, s__Staphylococcus lugdunensis 43.86%
s__GCF-000787395 sp000787395	56	1	s__(g__Flavobacterium) 100.0%
s__Ralstonia solanacearum	56	2	s__Ralstonia solanacearum 98.21%, s__Ralstonia pseudosolanacearum 1.79%
s__Stenotrophomonas maltophilia_AK	55	2	s__Stenotrophomonas maltophilia 92.73%, s__(g__Flavobacterium) 7.27%
s__Streptococcus suis_W	54	1	s__Streptococcus suis 100.0%
s__Chlamydophila abortus	54	1	s__Chlamydia abortus 100.0%
s__Bifidobacterium adolescentis	54	2	s__Bifidobacterium adolescentis 98.15%, s__(g__Flavobacterium) 1.85%
s__Staphylococcus_A sciuri	54	4	s__Staphylococcus sciuri 90.74%, s__Staphylococcus aureus 3.7%, s__(g__Flavobacterium) 3.7%, s__Staphylococcus schleiferi 1.85%
s__Streptococcus gordonii	54	3	s__Streptococcus gordonii 88.89%, s__(g__Flavobacterium) 7.41%, s__Streptococcus cristatus 3.7%
s__Lactococcus lactis_E	53	1	s__Lactococcus lactis 100.0%
s__Rhizobium leguminosarum	53	3	s__Rhizobium leguminosarum 94.34%, s__(g__Flavobacterium) 3.77%, s__Rhizobium gallicum 1.89%
s__Burkholderia vietnamiensis	53	2	s__Burkholderia vietnamiensis 92.45%, s__(g__Flavobacterium) 7.55%
s__Aeromonas caviae	53	4	s__Aeromonas caviae 71.7%, s__(g__Flavobacterium) 20.75%, s__Aeromonas hydrophila 5.66%, s__Aeromonas media 1.89%
s__Salmonella houtenae	52	1	s__Salmonella enterica 100.0%
s__Rathayibacter sp002930885	52	1	s__(g__Flavobacterium) 100.0%
s__Achromobacter xylosoxidans	52	2	s__Achromobacter xylosoxidans 98.08%, s__(g__Flavobacterium) 1.92%
s__Morganella morganii	51	2	s__Morganella morganii 96.08%, s__(g__Flavobacterium) 3.92%
