GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Alkalibacterium sp001885615	1	1	s__(g__Flavobacterium) 100.0%
s__Arthrobacter_G cupressi	1	1	s__Arthrobacter cupressi 100.0%
s__Muricauda flava	1	1	s__Flagellimonas flava 100.0%
s__Parolsenella massiliensis	1	1	s__Libanicoccus massiliensis 100.0%
s__Paraburkholderia sp001931485	1	1	s__(g__Flavobacterium) 100.0%
s__Tissierella_A creatinophila	1	1	s__Tissierella creatinophila 100.0%
s__Enterococcus_J timonensis	1	1	s__Enterococcus timonensis 100.0%
s__SFB93 sp001887775	1	1	s__(g__Flavobacterium) 100.0%
s__Spiroplasma_A litorale	1	1	s__Spiroplasma litorale 100.0%
s__Butyrivibrio proteoclasticus_B	1	1	s__Butyrivibrio proteoclasticus 100.0%
s__Corynebacterium sp001815935	1	1	s__(g__Flavobacterium) 100.0%
s__Enterococcus_B ratti	1	1	s__Enterococcus ratti 100.0%
s__Bacillus_W sp001940785	1	1	s__(g__Flavobacterium) 100.0%
s__Corynebacterium sp001806875	1	1	s__(g__Flavobacterium) 100.0%
s__Anaerostipes sp001940315	1	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001905655	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E chlororaphis_D	1	1	s__Pseudomonas chlororaphis 100.0%
s__Streptomyces sp001746365	1	1	s__(g__Flavobacterium) 100.0%
s__Alteromonas sp001885075	1	1	s__(g__Flavobacterium) 100.0%
s__Rhizobacter sp900142965	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001905005	1	1	s__(g__Flavobacterium) 100.0%
s__Halomonas_C ilicicola	1	1	s__Halomonas ilicicola 100.0%
s__Bradyrhizobium sp001908185	1	1	s__(g__Flavobacterium) 100.0%
s__Pararhizobium arenae	1	1	s__Rhizobium arenae 100.0%
s__Paenibacillus xylanexedens_A	1	1	s__Paenibacillus xylanexedens 100.0%
s__Streptomyces sp001905725	1	1	s__(g__Flavobacterium) 100.0%
s__Fabibacter sp001747095	1	1	s__(g__Flavobacterium) 100.0%
s__Cellulosilyticum sp900095725	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingorhabdus_B sp001889025	1	1	s__(g__Flavobacterium) 100.0%
s__Berkiella aquae	1	1	s__Candidatus Berkiella aquae 100.0%
s__LPB0138 sp001761325	1	1	s__(g__Flavobacterium) 100.0%
s__Candidimonas_A bauzanensis	1	1	s__Candidimonas bauzanensis 100.0%
s__Fibrobacter sp900141705	1	1	s__(g__Flavobacterium) 100.0%
s__Hyphomicrobium sp900117455	1	1	s__(g__Flavobacterium) 100.0%
s__UJ101 sp001880285	1	1	s__(g__Flavobacterium) 100.0%
s__Mediterraneibacter sp900120155	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001905795	1	1	s__(g__Flavobacterium) 100.0%
s__Solidesulfovibrio sp001936595	1	1	s__(g__Flavobacterium) 100.0%
s__Mucilaginibacter sp900142915	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_AZ mediterraneensis	1	1	s__Bacillus mediterraneensis 100.0%
s__Streptomyces sp001905825	1	1	s__(g__Flavobacterium) 100.0%
s__Halomonas sp001882345	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-66-20 sp001770285	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-57-11 sp001795165	1	1	s__(g__Flavobacterium) 100.0%
s__9FT-COMBO-42-15 sp001803815	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-43-11 sp001817805	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-37-34 sp001801495	1	1	s__(g__Flavobacterium) 100.0%
s__O2-12-FULL-49-9 sp001794935	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-46-11 sp001779955	1	1	s__(g__Flavobacterium) 100.0%
s__Reyranella sp001767945	1	1	s__(g__Flavobacterium) 100.0%
s__MEUV01 sp001772575	1	1	s__(g__Flavobacterium) 100.0%
s__C7867-001 sp001781915	1	1	s__(g__Flavobacterium) 100.0%
s__UBA918 sp001779595	1	1	s__(g__Flavobacterium) 100.0%
s__Herminiimonas sp001770855	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E fluorescens_G	1	1	s__Pseudomonas fluorescens 100.0%
s__2-02-FULL-39-13 sp001783595	1	1	s__(g__Flavobacterium) 100.0%
s__Gallionella sp001801105	1	1	s__(g__Flavobacterium) 100.0%
s__XYD12-FULL-50-9 sp001799225	1	1	s__(g__Flavobacterium) 100.0%
s__Arenimonas sp001801685	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001786805	1	1	s__(g__Flavobacterium) 100.0%
s__Cellulomonas sp001898175	1	1	s__(g__Flavobacterium) 100.0%
s__Desulforhopalus sp001799365	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-59-12 sp001800075	1	1	s__(g__Flavobacterium) 100.0%
s__Dehalogenimonas sp001005265	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-353 sp001941135	1	1	s__(g__Flavobacterium) 100.0%
s__XYD2-FULL-41-14 sp001784435	1	1	s__(g__Flavobacterium) 100.0%
s__70-18 sp001899585	1	1	s__(g__Flavobacterium) 100.0%
s__MGJZ01 sp001794525	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-44-25 sp001816455	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-62-58 sp001771985	1	1	s__(g__Flavobacterium) 100.0%
s__Mariprofundus sp001871925	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-53-21 sp001775255	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-40-12 sp001823315	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-64-43 sp001796965	1	1	s__(g__Flavobacterium) 100.0%
s__Epilithonimonas sp001898785	1	1	s__(g__Flavobacterium) 100.0%
s__Anaeromyxobacter sp001768075	1	1	s__(g__Flavobacterium) 100.0%
s__Brevundimonas sp001794825	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-57-12 sp001801365	1	1	s__(g__Flavobacterium) 100.0%
s__9FT-COMBO-55-16 sp001795335	1	1	s__(g__Flavobacterium) 100.0%
s__02-FULL-45-17b sp001819815	1	1	s__(g__Flavobacterium) 100.0%
s__XYA2-FULL-39-19 sp001800285	1	1	s__(g__Flavobacterium) 100.0%
s__Dokdonella sp001899855	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-41-26 sp001794055	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-50-24 sp001804225	1	1	s__(g__Flavobacterium) 100.0%
s__O2-12-FULL-51-8 sp001805895	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-44-10 sp001792465	1	1	s__(g__Flavobacterium) 100.0%
s__UBA12077 sp001769005	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-39-12 sp001805125	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudolabrys sp001899285	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-58-11 sp001770235	1	1	s__(g__Flavobacterium) 100.0%
s__XYB1-FULL-40-15 sp001821555	1	1	s__(g__Flavobacterium) 100.0%
s__Vampirovibrio chlorellavorus_C	1	1	s__Vampirovibrio chlorellavorus 100.0%
s__2-01-FULL-60-11 sp001800085	1	1	s__(g__Flavobacterium) 100.0%
s__C7867-001 sp001781715	1	1	s__(g__Flavobacterium) 100.0%
s__NS-102 sp001899685	1	1	s__(g__Flavobacterium) 100.0%
s__Paludibacter sp001873635	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-68-16 sp001766905	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2262 sp001799285	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-35-23 sp001801465	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides sp000745515	1	1	s__(g__Flavobacterium) 100.0%
s__12-FULL-45-19b sp001794605	1	1	s__(g__Flavobacterium) 100.0%
s__MFBN01 sp001776425	1	1	s__(g__Flavobacterium) 100.0%
s__OXYB2-FULL-48-7 sp001800495	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7541 sp001919715	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-42-43 sp001801515	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-52-10 sp001805655	1	1	s__(g__Flavobacterium) 100.0%
s__63-22 sp001898995	1	1	s__(g__Flavobacterium) 100.0%
s__MGML01 sp001796415	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-38-22 sp001820055	1	1	s__(g__Flavobacterium) 100.0%
s__GWA2-46-15 sp001823105	1	1	s__(g__Flavobacterium) 100.0%
s__34-128 sp001773955	1	1	s__(g__Flavobacterium) 100.0%
s__MFUC01 sp001785575	1	1	s__(g__Flavobacterium) 100.0%
s__Reyranella sp001897995	1	1	s__(g__Flavobacterium) 100.0%
s__GWF2-33-9 sp001804565	1	1	s__(g__Flavobacterium) 100.0%
s__MHYJ01 sp001828445	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7541 sp001914785	1	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-58-95 sp001872165	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-43-11 sp001805165	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-65-34 sp001785115	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-68-14 sp001796995	1	1	s__(g__Flavobacterium) 100.0%
s__XYD2-FULL-50-16 sp001783695	1	1	s__(g__Flavobacterium) 100.0%
s__MFBO01 sp001774995	1	1	s__(g__Flavobacterium) 100.0%
s__Ottowia sp001897615	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfurimonas sp001829715	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-35-15 sp001769385	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001799735	1	1	s__(g__Flavobacterium) 100.0%
s__UBA6038 sp001896865	1	1	s__(g__Flavobacterium) 100.0%
s__Paracaedimonas sp001898705	1	1	s__(g__Flavobacterium) 100.0%
s__SCGC-AG-212-J23 sp001772055	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-49-15 sp001797695	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-48-10 sp001817755	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-64-22 sp001803795	1	1	s__(g__Flavobacterium) 100.0%
s__43-37 sp001897475	1	1	s__(g__Flavobacterium) 100.0%
s__CACIAM-69d sp001913845	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_I sp001941025	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-40-15 sp001816655	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas sp001897045	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-55-9 sp001778455	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas sp001897375	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-56-11 sp001796865	1	1	s__(g__Flavobacterium) 100.0%
s__GWA2-38-11 sp001790645	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4810 sp001797845	1	1	s__(g__Flavobacterium) 100.0%
s__Caenarcanum bioreactoricola	1	1	s__Candidatus Caenarcanum bioreactoricola 100.0%
s__2-02-FULL-34-10 sp001821915	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-45-10-B sp001818835	1	1	s__(g__Flavobacterium) 100.0%
s__Afipia sp001897755	1	1	s__(g__Flavobacterium) 100.0%
s__LPB0138 sp001874265	1	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-54-10 sp001872985	1	1	s__(g__Flavobacterium) 100.0%
s__CV81 sp001767925	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1547 sp001897305	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10212 sp001790525	1	1	s__(g__Flavobacterium) 100.0%
s__40CM-3-55-5 sp001914815	1	1	s__(g__Flavobacterium) 100.0%
s__MHMH01 sp001819335	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides_A massiliensis	1	1	s__Nocardioides massiliensis 100.0%
s__Novosphingobium sp001898925	1	1	s__(g__Flavobacterium) 100.0%
s__Spirosoma sp001898575	1	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp001800945	1	1	s__ 100.0%
s__Bosea sp001898115	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001781125	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-42-43 sp001801815	1	1	s__(g__Flavobacterium) 100.0%
s__Berkiella sp001898235	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-41-13 sp001821615	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8477 sp001872685	1	1	s__(g__Flavobacterium) 100.0%
s__S5133MH16 sp001751005	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001781555	1	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium rufum	1	1	s__Mycolicibacterium rufum 100.0%
s__UBA9971 sp001784535	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-46-14-A sp001780895	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-40-8-A sp001819435	1	1	s__(g__Flavobacterium) 100.0%
s__AqS3 sp001750645	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9933 sp001793895	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001787005	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1547 sp001897295	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas sp001899725	1	1	s__(g__Flavobacterium) 100.0%
s__GWA1-54-10 sp001775475	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8621 sp001898505	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-43-13 sp001819295	1	1	s__(g__Flavobacterium) 100.0%
s__Zag111 sp001899395	1	1	s__(g__Flavobacterium) 100.0%
s__MedPE-SWsnd-G2 sp001874335	1	1	s__(g__Flavobacterium) 100.0%
s__GWC2-42-7-A sp001831055	1	1	s__(g__Flavobacterium) 100.0%
s__Gallionella sp001801175	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-41-20 sp001801575	1	1	s__(g__Flavobacterium) 100.0%
s__WO2-01-48-18 sp001824435	1	1	s__(g__Flavobacterium) 100.0%
s__28-YEA-48 sp001898965	1	1	s__(g__Flavobacterium) 100.0%
s__33-17 sp001897445	1	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp001897945	1	1	s__(g__Flavobacterium) 100.0%
s__XYA2-FULL-43-10 sp001776195	1	1	s__(g__Flavobacterium) 100.0%
s__S7086C20 sp001751075	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001786225	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-51-18 sp001796525	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7182 sp001941045	1	1	s__(g__Flavobacterium) 100.0%
s__SCN-69-89 sp001898645	1	1	s__(g__Flavobacterium) 100.0%
s__GWA2-46-9 sp001791425	1	1	s__(g__Flavobacterium) 100.0%
s__UBA918 sp001783525	1	1	s__(g__Flavobacterium) 100.0%
s__Mesorhizobium sp001897075	1	1	s__(g__Flavobacterium) 100.0%
s__Paludibacter sp001898935	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfuritalea sp001828935	1	1	s__(g__Flavobacterium) 100.0%
s__Labilithrix sp001899635	1	1	s__(g__Flavobacterium) 100.0%
s__55-13 sp001898035	1	1	s__(g__Flavobacterium) 100.0%
s__UBA6170 sp001899005	1	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-61-12 sp001873705	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-45-12 sp001801665	1	1	s__(g__Flavobacterium) 100.0%
s__AqS2 sp001750625	1	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp001874325	1	1	s__ 100.0%
s__2-01-FULL-44-22 sp001794205	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-49-21 sp001829495	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9655 sp001897795	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-41 sp001941225	1	1	s__(g__Flavobacterium) 100.0%
s__OLB19 sp001783565	1	1	s__(g__Flavobacterium) 100.0%
s__12-FULL-67-14b sp001768615	1	1	s__(g__Flavobacterium) 100.0%
s__Taibaiella_A sp001897525	1	1	s__(g__Flavobacterium) 100.0%
s__UBA12402 sp001801315	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-42-15 sp001797285	1	1	s__(g__Flavobacterium) 100.0%
s__XYB12-FULL-50-7 sp001804345	1	1	s__(g__Flavobacterium) 100.0%
s__GWF1-51-8 sp001829395	1	1	s__(g__Flavobacterium) 100.0%
s__UBA5078 sp001802565	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-39-28 sp001794015	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001799845	1	1	s__(g__Flavobacterium) 100.0%
s__UBA5004 sp001824005	1	1	s__(g__Flavobacterium) 100.0%
s__C7867-001 sp001781625	1	1	s__(g__Flavobacterium) 100.0%
s__XYB1-FULL-44-23 sp001773775	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-64-23 sp001770575	1	1	s__(g__Flavobacterium) 100.0%
s__MFJZ01 sp001781025	1	1	s__(g__Flavobacterium) 100.0%
s__XYA12-FULL-58-9 sp001798605	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-39-19 sp001789725	1	1	s__(g__Flavobacterium) 100.0%
s__Kapabacteria thiocyanatum	1	1	s__Candidatus Kapabacteria thiocyanatum 100.0%
s__Pseudonocardia sp001899645	1	1	s__(g__Flavobacterium) 100.0%
s__3-1-20CM-2-70-9 sp001917735	1	1	s__(g__Flavobacterium) 100.0%
s__O2-12-FULL-43-9 sp001798265	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-45-22 sp001803565	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-56-16 sp001817495	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001799635	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-62-58 sp001772005	1	1	s__(g__Flavobacterium) 100.0%
s__Streptococcus mitis_F	1	1	s__Streptococcus mitis 100.0%
s__MFNH01 sp001781995	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001781465	1	1	s__(g__Flavobacterium) 100.0%
s__UBA12079 sp001774495	1	1	s__(g__Flavobacterium) 100.0%
s__O2-02-FULL-57-9 sp001800015	1	1	s__(g__Flavobacterium) 100.0%
s__UBA5201 sp001897605	1	1	s__(g__Flavobacterium) 100.0%
s__73-13 sp001898855	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-45-10-A sp001804165	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-39-14 sp001779205	1	1	s__(g__Flavobacterium) 100.0%
s__9FT-COMBO-53-11 sp001772805	1	1	s__(g__Flavobacterium) 100.0%
s__Lacinutrix sp001874145	1	1	s__(g__Flavobacterium) 100.0%
s__MFTL01 sp001786825	1	1	s__(g__Flavobacterium) 100.0%
s__Xylanimonas pachnodae	1	1	s__Xylanimicrobium pachnodae 100.0%
s__Sulfurimonas sp001873135	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-42-24 sp001792115	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-43-9 sp001775355	1	1	s__(g__Flavobacterium) 100.0%
s__46-32 sp001898405	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-34-14 sp001802865	1	1	s__(g__Flavobacterium) 100.0%
s__Caulobacter sp001896875	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-42-10 sp001773455	1	1	s__(g__Flavobacterium) 100.0%
s__Flavipsychrobacter sp001897835	1	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-38-12b sp001820255	1	1	s__(g__Flavobacterium) 100.0%
s__GWA2-31-9 sp001768975	1	1	s__(g__Flavobacterium) 100.0%
s__UBA11361 sp001919995	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-39-14 sp001779055	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-45-21 sp001805575	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_BB sp001884825	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-38-21 sp001782475	1	1	s__(g__Flavobacterium) 100.0%
s__GWB1-45-5 sp001816645	1	1	s__(g__Flavobacterium) 100.0%
s__GWF1-51-8 sp001829415	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9942 sp001805005	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1568 sp001786575	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-36-15 sp001782015	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-49-23 sp001798855	1	1	s__(g__Flavobacterium) 100.0%
s__HO2-49-34 sp001781205	1	1	s__(g__Flavobacterium) 100.0%
s__Taibaiella_A sp001897155	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrobacter sp001897285	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira sp001899235	1	1	s__(g__Flavobacterium) 100.0%
s__GWC2-56-14 sp001803705	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-61-28 sp001767035	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-36-15 sp001819145	1	1	s__(g__Flavobacterium) 100.0%
s__Paludisphaera sp001898385	1	1	s__(g__Flavobacterium) 100.0%
s__Psychrobium sp001874365	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001785615	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-41-18-A sp001776475	1	1	s__(g__Flavobacterium) 100.0%
s__YD12-FULL-57-12 sp001799275	1	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-49-22b sp001823165	1	1	s__(g__Flavobacterium) 100.0%
s__OXYD1-FULL-39-9 sp001773295	1	1	s__(g__Flavobacterium) 100.0%
s__HL-12 sp001873585	1	1	s__(g__Flavobacterium) 100.0%
s__Kaistella sp001898255	1	1	s__(g__Flavobacterium) 100.0%
s__MFGM01 sp001778275	1	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-36-15b sp001782045	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-46-13 sp001791995	1	1	s__(g__Flavobacterium) 100.0%
s__Humidesulfovibrio sp001871085	1	1	s__(g__Flavobacterium) 100.0%
s__Niabella sp001896965	1	1	s__(g__Flavobacterium) 100.0%
s__13-2-20CM-68-14 sp001914705	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001785515	1	1	s__(g__Flavobacterium) 100.0%
s__Methylotenera sp001803395	1	1	s__(g__Flavobacterium) 100.0%
s__GWC2-42-7 sp001803645	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001783355	1	1	s__(g__Flavobacterium) 100.0%
s__XYD1-FULL-53-11 sp001770165	1	1	s__(g__Flavobacterium) 100.0%
s__O2-12-FULL-59-9 sp001800185	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingopyxis sp001830555	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-39-13 sp001772665	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-51-16 sp001796785	1	1	s__(g__Flavobacterium) 100.0%
s__GWB2-37-7 sp001797185	1	1	s__(g__Flavobacterium) 100.0%
s__Schumannella sp001898835	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrobacter sp001896955	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-46-13 sp001821015	1	1	s__(g__Flavobacterium) 100.0%
s__Planktothrix sp001873365	1	1	s__Oscillatoriales cyanobacterium 100.0%
s__OXYB2-FULL-48-7-A sp001771615	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-43-28 sp001801635	1	1	s__(g__Flavobacterium) 100.0%
s__Thrichloromonas sp001825565	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-51-10 sp001823505	1	1	s__(g__Flavobacterium) 100.0%
s__GWA2-52-8 sp001804025	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-41-10 sp001805465	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001785985	1	1	s__(g__Flavobacterium) 100.0%
s__Petrimonas sp001898165	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-41-12 sp001790445	1	1	s__(g__Flavobacterium) 100.0%
s__Firm-04 sp001940925	1	1	s__(g__Flavobacterium) 100.0%
s__Bact-08 sp001769195	1	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-43-15b sp001816385	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-49-14 sp001816915	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-50-11-A sp001804315	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-40-14 sp001788215	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-269 sp001915995	1	1	s__(g__Flavobacterium) 100.0%
s__MFQB01 sp001784275	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-54-11 sp001797905	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-44-11 sp001817345	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-47-10 sp001824325	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-66-30 sp001773855	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-42-10 sp001801625	1	1	s__(g__Flavobacterium) 100.0%
s__GWF2-35-9 sp001783275	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-46-10 sp001824645	1	1	s__(g__Flavobacterium) 100.0%
s__MHLB01 sp001818895	1	1	s__(g__Flavobacterium) 100.0%
s__Afipia sp001897905	1	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp001898325	1	1	s__(g__Flavobacterium) 100.0%
s__JOSHI-001 sp001770815	1	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-37-14 sp001804735	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-50-9 sp001772255	1	1	s__(g__Flavobacterium) 100.0%
s__Thiobacillus sp001899775	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-44-17 sp001794195	1	1	s__(g__Flavobacterium) 100.0%
s__EMTCatB1 sp001950395	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-45-19 sp001803415	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-47-12 sp001790455	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-40-20 sp001818675	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-66-17 sp001803875	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-61-13 sp001801865	1	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-41-12 sp001805765	1	1	s__(g__Flavobacterium) 100.0%
s__MFAQ01 sp001776275	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001786015	1	1	s__(g__Flavobacterium) 100.0%
s__46-32 sp001898485	1	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-38-12b sp001820175	1	1	s__(g__Flavobacterium) 100.0%
s__UBA9627 sp001800605	1	1	s__(g__Flavobacterium) 100.0%
s__PeH17 sp001940845	1	1	s__(g__Flavobacterium) 100.0%
s__DB1 sp001914235	1	1	s__(g__Flavobacterium) 100.0%
s__SFB93 sp001751225	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-48-12 sp001819875	1	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-40-13 sp001779235	1	1	s__(g__Flavobacterium) 100.0%
