GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__GIF9	42	1	o__(c__Tissierellia) 100.0%	
o__Brocadiales	42	3	o__Candidatus Brocadiales 57.14%, o__(c__Tissierellia) 40.48%, o__Planctomycetales(c__Planctomycetia) 2.38%	
o__P2-11E	41	1	o__(c__Tissierellia) 100.0%	
o__Cardiobacteriales	41	2	o__(c__Tissierellia) 60.98%, o__Cardiobacteriales 39.02%	
o__Eubacteriales	40	2	o__Clostridiales 97.5%, o__(c__Tissierellia) 2.5%	
o__Planctomycetales	40	2	o__Planctomycetales(c__Planctomycetia) 75.0%, o__(c__Tissierellia) 25.0%	
o__Sedimentisphaerales	40	4	o__(c__Tissierellia) 45.0%, o__Phycisphaerales 45.0%, o__Sedimentisphaerales 7.5%, o__Planctomycetales(c__Planctomycetia) 2.5%	
o__Nitrococcales	39	2	o__Chromatiales 97.44%, o__(c__Tissierellia) 2.56%	
o__Acidithiobacillales	38	2	o__Acidithiobacillales(c__Acidithiobacillia) 97.37%, o__Nitrospirales(c__Nitrospira) 2.63%	
o__Curtissbacterales	37	1	o__(c__Tissierellia) 100.0%	
o__Caldicellulosiruptorales	36	1	o__Thermoanaerobacterales(c__Clostridia) 100.0%	
o__Kapabacteriales	36	1	o__(c__Tissierellia) 100.0%	
o__UBA920	36	1	o__(c__Tissierellia) 100.0%	
o__Pyrinomonadales	36	2	o__(c__Tissierellia) 97.22%, o__Blastocatellales 2.78%	
o__Thermoactinomycetales	35	1	o__Bacillales 100.0%	
o__SC72	35	1	o__(c__Tissierellia) 100.0%	
o__Shapirobacterales	35	1	o__(c__Tissierellia) 100.0%	
o__Babeliales	35	2	o__(c__Tissierellia) 94.29%, o__Candidatus Babeliales 5.71%	
o__Victivallales	35	2	o__(c__Tissierellia) 94.29%, o__Victivallales 5.71%	
o__Portnoybacterales	34	1	o__(c__Tissierellia) 100.0%	
o__SCGC-AAA003-L08	33	1	o__(c__Tissierellia) 100.0%	
o__Competibacterales	32	2	o__(c__Tissierellia) 96.88%, o__Xanthomonadales 3.12%	
o__GIF10	32	2	o__(c__Tissierellia) 96.88%, o__Planctomycetales(c__Planctomycetia) 3.12%	
o__Piscirickettsiales	30	1	o__Thiotrichales 100.0%	
o__GWC2-36-17_A	30	1	o__(c__Tissierellia) 100.0%	
o__Leptospirillales	30	2	o__Nitrospirales(c__Nitrospira) 76.67%, o__(c__Tissierellia) 23.33%	
o__Fimbriimonadales	30	3	o__Chthonomonadales(c__Chthonomonadetes) 63.33%, o__(c__Tissierellia) 33.33%, o__Fimbriimonadales 3.33%	
o__Bipolaricaulales	29	1	o__(c__Tissierellia) 100.0%	
o__Palsa-1104	29	1	o__Myxococcales(c__Deltaproteobacteria) 100.0%	
o__NS11-12g	29	2	o__(c__Tissierellia) 93.1%, o__Flavobacteriales(c__Flavobacteriia) 6.9%	
o__Acidiferrobacterales	29	3	o__(c__Tissierellia) 72.41%, o__Acidiferrobacterales 20.69%, o__Acidithiobacillales(c__Acidithiobacillia) 6.9%	
o__Chloroflexales	29	3	o__Chloroflexales 65.52%, o__(c__Tissierellia) 20.69%, o__Herpetosiphonales 13.79%	
o__Gemmatales	29	2	o__(c__Tissierellia) 62.07%, o__Planctomycetales(c__Planctomycetia) 37.93%	
o__CF-121	28	1	o__(c__Tissierellia) 100.0%	
